Title,Release time,Age rating,Runtime,Language,IMDb Rating,IMDb Votes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Win,Nomination,Age rating quantification
Goon Squad,2024-01-18,NC-17,83.0,English,6.1,12430.665799739922,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,5
The Phantom Warrior,2024-02-20,R,83.0,English,2.6,532.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.0,0.0,4
Beyond the Lake,2024-01-26,G,98.0,English,6.1,31.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1
Crimes of Fashion: Killer Clutch,2024-03-15,PG,84.0,"English, French",5.8,503.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,2
Love on the Danube: Love Song,2024-09-10,G,84.0,English,5.8,175.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1
Fixed,2023-10-01,R,95.4911881750995,English,6.1,16.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Eddy's oorlog,2024-02-29,PG-13,101.0,Dutch,6.1,26.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,3
Dead Money,2024-09-13,R,100.0,English,6.1,84.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Making of an Activist,2024-05-13,R,38.0,English,5.0,133.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Young Werther,2024-09-06,R,101.0,English,6.1,25.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,4
Apple Music Live: SZA,2024-02-07,R,60.0,English,6.1,41.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Bad Guy,2024-01-01,PG-13,69.0,English,6.1,12430.665799739922,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Message from Sasha,2024-02-16,PG-13,54.0,Russian,6.1,12430.665799739922,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
God & Country,2024-03-26,PG-13,90.0,English,6.1,1038.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Ryan's World the Movie: Titan Universe Adventure,2024-08-16,PG,80.0,English,2.1,308.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Camp Pleasant Lake,2024-02-27,R,90.0,English,3.3,2245.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Some Other Woman,2024-02-09,R,85.0,English,4.6,387.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Cold Copy,2024-01-26,R,96.0,English,5.5,843.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,4
Officer Black Belt,2024-09-13,R,108.0,Korean,6.8,5074.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Girl Haunts Boy,2024-10-10,PG,100.0,English,6.3,1383.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,2
Franco Escamilla: Ladies' Man,2024-05-23,R,73.0,Spanish,6.0,73.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Devil on Campus: The Larry Ray Story,2024-06-23,PG-13,86.0,English,5.2,204.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,3
High Tide,2024-03-08,R,101.0,"English, Portuguese",7.4,63.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.0,1.0,4
8 Don 75,2024-01-19,PG-13,132.0,Marathi,6.1,12.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,64.0,2.0,3
Writing a Love Song,2024-03-31,G,90.0,English,6.9,120.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1
Apollo 13: Survival,2024-09-05,PG-13,98.0,English,6.1,1639.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Protocol-7,2024-05-30,R,98.0,English,4.7,218.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
American Star,2024-01-26,R,107.0,"English, French",5.4,2007.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,4
Warchief,2024-03-15,R,94.0,English,2.6,563.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Unbreakable Tatiana Suarez,2024-01-31,PG-13,81.0,English,6.1,157.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,3
Thelma the Unicorn,2024-05-17,PG,93.0,English,5.8,2532.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
"Rory Scovel: Religion, Sex and a Few Things in Between",2024-02-22,R,73.0,English,6.6,310.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Out of My Mind,2024-11-22,PG,110.0,English,6.8,61.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
The Truth vs. Alex Jones,2024-03-26,R,115.0,English,7.5,2663.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Notice to Quit,2024-09-27,PG-13,91.0,English,6.5,153.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Blink,2024-08-30,PG,83.0,"English, French, Spanish, Shuar",8.0,69.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
My Freaky Family,2024-10-31,PG,86.0,English,6.1,158.0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
You Can't Run Forever,2024-05-17,R,102.0,English,4.4,3479.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Man and Witch: The Dance of a Thousand Steps,2024-07-28,PG,94.0,English,8.1,100.0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Breaking the Silence: The Maria Soledad Case,2024-10-10,PG-13,95.0,Spanish,6.1,12430.665799739922,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
The Other Side,2024-03-18,PG-13,97.0,English,5.8,180.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Adam Sandler: Love You,2024-08-27,R,74.0,English,6.8,2060.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The Guardian of the Monarchs,2024-05-09,PG-13,92.0,English,7.7,380.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
The Beautiful Game,2024-03-29,PG-13,125.0,English,6.3,7156.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,3
Saving Bikini Bottom: The Sandy Cheeks Movie,2024-08-02,G,86.0,"Arabic, English",3.7,3015.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1
Levels,2024-11-01,R,92.0,English,6.1,12430.665799739922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.0,0.0,4
Run Rabbit Run,2023-06-28,R,100.0,English,5.0,12026.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,2.0,2.0,4
The Stones and Brian Jones,2024-02-09,R,93.0,English,7.0,550.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.0,3.0,4
Seize the Summit,2024-04-20,PG,75.0,"Arabic, Dari, Ukrainian, English",6.1,12430.665799739922,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Summer Camp,2024-05-31,PG-13,95.0,English,4.5,792.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Cash Out,2024-04-27,R,90.0,English,4.8,2123.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Beverly Hills Cop: Axel F,2024-07-03,R,118.0,"English, Spanish",6.5,72224.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Brothers,2024-10-17,R,88.0,English,6.1,13.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Knox Goes Away,2024-03-15,R,114.0,English,7.0,18730.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Godzilla x Kong: The New Empire,2024-03-29,PG-13,115.0,English,6.1,107307.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
You Gotta Believe,2024-08-30,PG,104.0,English,5.5,483.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.0,2
Late Night with the Devil,2024-03-22,R,93.0,English,7.0,96239.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6.0,8.0,4
Self Reliance,2024-01-12,R,91.0,English,6.0,15438.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
The Union,2024-08-16,PG-13,109.0,English,5.4,42014.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,3
Lazareth,2024-05-13,R,86.0,English,4.3,557.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Our Little Secret,2024-11-27,PG-13,99.0,English,6.1,12430.665799739922,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Kalki 2898 AD,2024-06-27,PG-13,180.0,"Telugu, Hindi",7.1,57367.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Ezra,2024-05-30,R,100.0,English,6.4,3291.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,2.0,4
Dìdi,2024-08-16,R,93.0,"English, Mandarin",7.4,6120.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,10.0,4
The Forge,2024-08-23,PG,124.0,English,6.4,2180.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Am I Racist?,2024-09-13,PG-13,100.0,English,7.3,8914.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
The Critic,2024-09-13,R,101.0,English,6.3,1439.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0,0.0,4
Rebel Ridge,2024-09-06,R,132.0,English,6.9,59006.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Alien Country,2024-10-09,PG-13,96.0,English,6.1,12430.665799739922,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Temurun,2024-05-30,R,85.0,Indonesian,6.1,52.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Snow White and the Seven Samurai,2024-03-01,PG-13,88.0,English,3.3,189.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Blink Twice,2024-08-23,R,103.0,English,7.0,49186.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0.0,0.0,4
Never Let Go,2024-09-20,R,101.0,English,5.5,5310.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.0,0.0,4
Back to Black,2024-05-17,R,122.0,English,6.3,20279.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Keith Robinson: Different Strokes,2024-06-11,R,53.0,English,6.5,173.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Hauntology,2024-09-17,R,103.0,English,4.0,123.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Kung Fu Games,2024-09-10,R,94.0,English,3.3,317.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
Someone Like You,2024-04-02,PG,118.0,English,5.8,1145.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,2
Mean Girls,2024-01-12,PG-13,110.0,English,5.6,33799.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,3
100 Yards,2024-09-20,PG-13,108.0,Chinese,5.9,124.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Megamind vs. The Doom Syndicate,2024-03-01,G,83.0,English,2.4,5048.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1
Lonely Planet,2024-10-11,R,96.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,4
Tragic Waste,2024-10-18,R,80.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
The American Question,2024-10-29,PG,90.0,English,6.1,12430.665799739922,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
The Lionheart,2024-03-12,PG-13,104.0,English,7.2,308.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,3
Spin the Wheel,2024-04-14,R,102.0,English,6.7,62.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,18.0,22.0,4
Voice of Shadows,2024-08-28,R,90.0,English,7.0,65.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.0,4.0,4
Boko Haram: Terror in Africa,2024-01-01,PG-13,52.0,"English, French",6.1,60.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
My Hero El Santo,2024-01-01,PG-13,87.0,English,6.1,12430.665799739922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
Jersey Bred,2024-04-02,R,91.0,English,6.1,12430.665799739922,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,4
A Taste of Love,2024-02-19,G,84.0,English,5.9,457.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,1
Meet Me Outside,2024-01-30,NC-17,84.0,English,6.1,18.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,5
A Nashville Wish,2024-06-02,PG,102.0,English,6.1,62.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,2
Architecton,2024-10-03,G,98.0,"Italian, English",6.7,112.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,1
Under Pressure,2024-02-16,PG-13,3.0,English,6.1,12430.665799739922,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,3
