,Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
0,Stormy,18 Mar 2024,R,1h 49min,Documentary,English,N/A,N/A,6.4,"1,004",N/A
1,Ghostbusters: Frozen Empire,22 Mar 2024,PG-13,1h 55min,"Adventure, Comedy, Fantasy",English,2 nominations,N/A,6.1,"78,571","$113,376,590"
2,Wicked,22 Nov 2024,PG,2h 40min,"Fantasy, Musical, Romance",English,3 nominations,N/A,N/A,N/A,N/A
3,The First Omen,05 Apr 2024,R,1h 59min,Horror,"English, Italian",10 nominations,N/A,6.5,"56,020","$20,092,802"
4,Sunrise,19 Jan 2024,R,1h 24min,"Horror, Thriller","English, Cantonese",N/A,N/A,3.8,856,N/A
5,Speak No Evil,13 Sep 2024,R,1h 50min,"Drama, Horror, Thriller",English,N/A,N/A,6.9,"41,669","$35,464,800"
6,Outlaw Posse,01 Mar 2024,R,1h 48min,Western,English,N/A,N/A,4.5,398,N/A
7,My Rocking Chair,23 Aug 2024,R,1h 0min,Thriller,English,N/A,N/A,N/A,N/A,N/A
8,Amp House Massacre,17 Jun 2024,R,1h 20min,"Horror, Mystery, Thriller",English,N/A,N/A,4.5,107,N/A
9,Gaga Chromatica Ball,25 May 2024,PG-13,1h 53min,"Music, Musical",English,N/A,N/A,8.2,"1,800",N/A
10,The Test,07 Apr 2024,R,1h 20min,"Documentary, Drama",English,N/A,N/A,N/A,N/A,N/A
11,AI Evolution,15 Feb 2024,PG,52min,Documentary,English,N/A,N/A,N/A,N/A,N/A
12,Saturn,24 Sep 2024,PG-13,1h 40min,"Drama, Sci-Fi",English,N/A,N/A,N/A,N/A,N/A
13,Standing on the Shoulders of Kitties,06 Dec 2024,R,1h 51min,"Comedy, Music",English,N/A,N/A,N/A,N/A,N/A
14,Boxer,11 Sep 2024,R,2h 30min,"Drama, Sport",Polish,N/A,N/A,6.4,935,N/A
15,Demolition Warriors,01 Mar 2024,R,1h 55min,Thriller,English,N/A,N/A,N/A,N/A,N/A
16,Scooped,08 Aug 2024,PG-13,1h 24min,Family,N/A,N/A,N/A,N/A,N/A,N/A
17,Stripped: Nashville,06 Feb 2024,R,1h 22min,Documentary,English,N/A,N/A,N/A,N/A,N/A
18,The Firing Squad,01 Aug 2024,PG-13,1h 33min,"Adventure, Biography, Drama",English,N/A,N/A,6.7,"3,535","$1,757,110"
19,A Very Bayou Holiday,2024,PG-13,1h 27min,"Comedy, Romance",English,3 wins & 1 nomination,N/A,N/A,N/A,N/A
20,Outstanding: A Comedy Revolution,18 Jun 2024,R,1h 40min,Documentary,English,N/A,N/A,7.4,611,N/A
21,Lethally Blonde,25 Mar 2024,PG-13,1h 32min,"Documentary, Crime",English,N/A,N/A,6.5,130,N/A
22,Real Life Fiction,28 Aug 2024,R,1h 35min,Mystery,English,N/A,N/A,N/A,N/A,N/A
23,Myall Creek Day of Justice,26 Jan 2024,G,1h 18min,"Crime, Drama, News",N/A,N/A,N/A,N/A,N/A,N/A
24,Rafa Márquez: El Capitán,06 Jun 2024,R,1h 22min,"Documentary, Sport",Spanish,N/A,N/A,N/A,178,N/A
25,Junction,26 Jan 2024,R,1h 38min,Thriller,N/A,N/A,N/A,5.2,253,N/A
26,Chappelle's Home Team: Donnell Rawlings - A New Day,27 Feb 2024,R,40min,"Comedy, Reality-TV",English,N/A,N/A,5.7,214,N/A
27,The Kingfish 2,01 Jan 2024,R,1h 12min,"Adventure, Comedy, Thriller",English,N/A,N/A,8.4,6,N/A
28,State of Consciousness,15 Mar 2024,R,1h 41min,Thriller,English,1 win,N/A,5.1,394,N/A
29,You Are Not Alone: Fighting the Wolf Pack,01 Mar 2024,R,1h 43min,Documentary,Spanish,N/A,N/A,7.4,"1,051",N/A
30,Chestnut vs. Kobayashi: Unfinished Beef,02 Sep 2024,PG,1h 11min,"Game-Show, Reality-TV",English,N/A,N/A,5.2,232,N/A
31,Midnight Taxi,24 May 2024,PG-13,1h 37min,"Crime, Mystery, Thriller",English,N/A,N/A,N/A,11,N/A
32,Descendants: The Rise of Red,12 Jul 2024,G,1h 32min,"Action, Adventure, Family",English,N/A,N/A,4.7,"5,977",N/A
33,Witches' Well,05 Jul 2024,NC-17,1h 0min,Horror,English,N/A,N/A,N/A,32,N/A
34,Little Wing,13 Mar 2024,PG-13,1h 40min,"Drama, Sport",English,N/A,N/A,6.1,830,N/A
35,The Accidental Twins,20 Jun 2024,PG-13,1h 24min,Documentary,Spanish,N/A,N/A,7.2,805,N/A
36,Art of Eight Limbs,20 Aug 2024,R,1h 41min,"Action, Thriller",English,N/A,N/A,3.8,253,N/A
37,Yoga Teacher Killer: The Kaitlin Armstrong Story,15 Jun 2024,PG-13,1h 27min,"Drama, Crime",English,N/A,N/A,N/A,134,N/A
38,Tyler Perry's Divorce in the Black,11 Jul 2024,R,2h 23min,"Drama, Thriller",English,N/A,N/A,4.6,"3,233",N/A
39,The Deliverance,30 Aug 2024,R,1h 52min,"Horror, Thriller",English,1 win,N/A,5.1,"19,058",N/A
40,One Fast Move,08 Aug 2024,R,1h 48min,Action,English,N/A,N/A,4.9,"1,872",N/A
41,Justice,16 Oct 2024,R,1h 54min,"Crime, Drama",Polish,N/A,N/A,N/A,N/A,N/A
42,Skywalkers: A Love Story,19 Jul 2024,R,1h 41min,Documentary,English,1 win & 2 nominations,N/A,7.1,"2,803",N/A
43,Drive Back,23 Aug 2024,R,1h 34min,"Action, Horror, Mystery",English,N/A,N/A,9.1,13,N/A
44,1992,30 Aug 2024,R,1h 37min,"Action, Drama, Thriller",English,N/A,N/A,5.8,"1,369","$2,906,073"
45,Living with Leopards,10 May 2024,PG,1h 12min,Documentary,English,N/A,N/A,7.4,699,N/A
46,For the First Time in Forever: The Making of World of Frozen,07 Jun 2024,G,16min,"Documentary, Short",English,N/A,N/A,N/A,12,N/A
47,Handling the Undead,09 Feb 2024,R,1h 37min,"Drama, Horror, Mystery",Norwegian,8 wins & 8 nominations,N/A,5.4,"3,381","$26,208"
48,Porcelain War,20 Jan 2024,R,1h 27min,Documentary,"Ukrainian, Russian, English",30 wins & 23 nominations,N/A,7.6,342,N/A
49,Boonie Bears: Time Twist,25 Jul 2024,PG,1h 45min,Animation,Mandarin,2 nominations,N/A,6.0,117,N/A
50,Burrow,25 Dec 2020,G,6min,"Animation, Short, Comedy",English,Nominated for 1 Oscar. 2 nominations total,N/A,7.4,"5,598",N/A
51,Elton John: Never Too Late,13 Dec 2024,PG-13,1h 42min,"Documentary, Biography, Music",English,N/A,N/A,N/A,48,N/A
52,Humane,26 Apr 2024,R,1h 33min,"Horror, Thriller",English,N/A,N/A,5.5,"5,500","$44,509"
53,Earworm,02 Jan 2024,R,1h 41min,"Horror, Thriller",English,N/A,N/A,2.3,196,N/A
54,Shadow Land,31 May 2024,R,1h 29min,Thriller,English,N/A,N/A,3.7,354,N/A
55,The Thicket,06 Sep 2024,R,1h 48min,"Crime, Drama, Western",English,N/A,N/A,5.7,"1,161",N/A
56,Hard Miles,19 Apr 2024,PG-13,1h 49min,"Drama, Sport",English,8 wins,N/A,6.4,819,"$386,891"
57,Look Into My Eyes,22 Jan 2024,R,1h 48min,Documentary,English,N/A,N/A,N/A,41,N/A
58,The Lockdown,16 Aug 2024,R,1h 57min,"Action, Crime, Drama","English, Min Nan",N/A,N/A,4.3,478,N/A
59,Kingdom 3: The Flame of Destiny,10 Jan 2024,PG-13,2h 9min,"Action, History, War",Japanese,2 nominations,N/A,6.7,"1,373",N/A
60,Searching for the Elephant,28 Mar 2024,PG-13,1h 56min,"Drama, Western",English,N/A,N/A,N/A,22,N/A
61,Riddle of Fire,17 Apr 2024,PG-13,1h 54min,"Action, Adventure, Comedy",English,7 wins & 9 nominations,N/A,6.6,"1,460","$54,671"
62,Made in Europe,15 May 2024,PG,52min,Documentary,English,N/A,N/A,N/A,N/A,N/A
63,Juror #2,30 Oct 2024,PG-13,1h 54min,Thriller,English,N/A,N/A,N/A,N/A,N/A
64,Dominique,11 Oct 2024,R,1h 34min,"Action, Thriller","English, Spanish",N/A,N/A,4.9,945,N/A
65,Lift,12 Jan 2024,PG-13,1h 47min,"Action, Comedy, Crime","English, Italian",N/A,N/A,5.5,"44,866",N/A
66,Mind Body & Soul,2024,R,1h 20min,Comedy,English,N/A,N/A,N/A,N/A,N/A
67,Sight,24 May 2024,PG-13,1h 43min,"Biography, Drama, History",English,5 wins & 3 nominations,N/A,6.6,"1,462","$7,206,741"
68,Strawberry Shortcake's Spring Spectacular,01 Apr 2024,G,45min,Animation,English,N/A,N/A,N/A,31,N/A
69,Hatching Eagles,01 Mar 2024,PG-13,1h 3min,Documentary,"Chinese, Finnish, English",N/A,N/A,N/A,N/A,N/A
70,Shadow of Vengeance,01 Nov 2024,PG-13,1h 27min,"Action & Adventure, Drama",N/A,N/A,N/A,N/A,N/A,N/A
71,Campamento con mamá,2024,R,1h 35min,Comedy,Spanish,N/A,N/A,N/A,N/A,N/A
72,Self,02 Feb 2024,PG,7min,"Animation, Short",English,N/A,N/A,N/A,N/A,N/A
73,Contagion of Fear,16 May 2023,R,1h 34min,Thriller,English,N/A,N/A,3.8,194,N/A
74,Dinda,06 Jun 2024,PG-13,1h 34min,"Drama, Romance",Indonesian,N/A,N/A,N/A,15,N/A
75,On Becoming a Guinea Fowl,03 Oct 2024,PG-13,1h 35min,"Comedy, Drama","English, Bemba",1 win & 3 nominations,N/A,6.7,135,N/A
76,The Young Wife,31 May 2024,R,1h 37min,"Comedy, Drama",English,1 nomination,N/A,N/A,74,N/A
77,Borderlands,09 Aug 2024,PG-13,1h 41min,"Action, Adventure, Comedy",English,1 win & 2 nominations,N/A,4.5,"28,907","$15,482,668"
