Title,Release time,Age rating,Runtime,Genre,Lanuage,Awards,Metascore,IMDb Rating,IMDb Votes,Domestic Revenue
The Mission,08 Dec 2023,PG-13,1h 43min,Documentary,English,11 nominations,N/A,6.4,"1,075","$58,377"
The Peasants,13 Oct 2023,R,1h 55min,"Animation, Drama, History","Polish, Latin",10 wins & 19 nominations,N/A,7.6,"6,678","$155,188"
The Burial,13 Oct 2023,R,2h 6min,Drama,English,2 wins & 4 nominations,N/A,7.1,"37,620",N/A
Saw X,29 Sep 2023,R,1h 58min,"Horror, Mystery, Thriller","English, Spanish",15 nominations,N/A,6.6,"84,301","$53,607,898"
Last Call for Istanbul,24 Nov 2023,R,1h 31min,"Drama, Romance",Turkish,1 win,N/A,5.3,"9,358",N/A
Coup de Chance,05 Apr 2024,PG-13,1h 36min,"Comedy, Crime, Drama",French,N/A,N/A,6.4,"8,274",N/A
Shooting Stars,02 Jun 2023,PG-13,1h 56min,"Biography, Drama, History",English,2 wins & 3 nominations,62,6.5,"2,973",N/A
Wingwomen,01 Nov 2023,R,1h 54min,"Action, Comedy, Crime",French,N/A,N/A,5.7,"7,003",N/A
Love in the Maldives,01 Apr 2023,G,1h 24min,Romance,English,N/A,N/A,6.1,949,N/A
One Day as a Lion,07 Apr 2023,R,1h 27min,"Action, Comedy, Thriller",English,N/A,N/A,5.2,"2,088","$42,338"
Freelance,27 Oct 2023,R,1h 48min,"Action, Comedy","English, Spanish, French",N/A,N/A,5.5,"22,733","$5,314,136"
Marlowe,15 Feb 2023,R,1h 49min,"Crime, Mystery, Thriller",English,2 nominations,41,5.4,"12,839","$4,350,243"
The Taste of Things,09 Feb 2024,PG-13,2h 15min,"Drama, History, Romance",French,8 wins & 27 nominations,80,7.4,"14,139","$2,654,510"
Child Machine,12 May 2023,PG-13,1h 36min,Sci-Fi,English,3 wins & 1 nomination,N/A,4.8,142,N/A
Finestkind,15 Dec 2023,R,2h 6min,"Crime, Drama, Thriller",English,2 nominations,N/A,6.1,"9,617",N/A
Dungeons & Dragons: Honor Among Thieves,31 Mar 2023,PG-13,2h 14min,"Action, Adventure, Comedy",English,4 wins & 19 nominations,72,7.2,"241,657","$93,277,026"
The Nun II,08 Sep 2023,R,1h 50min,"Horror, Mystery, Thriller","English, French, Italian, Romanian",1 win & 12 nominations,N/A,5.6,"64,990","$86,267,073"
My Big Fat Greek Wedding 3,08 Sep 2023,PG-13,1h 32min,"Comedy, Drama, Romance","English, Greek",1 win & 2 nominations,N/A,5.2,"10,783","$28,496,030"
Carl's Date,21 Jun 2023,G,9min,"Animation, Short, Comedy",English,N/A,N/A,6.4,"3,486",N/A
You Are So Not Invited to My Bat Mitzvah,25 Aug 2023,PG-13,1h 43min,Comedy,"English, Hebrew",2 wins & 2 nominations,N/A,6.0,"25,052",N/A
The Last Rifleman,05 Nov 2023,PG-13,1h 40min,Drama,English,2 nominations,N/A,6.5,"2,052",N/A
Wonka,15 Dec 2023,PG,1h 57min,"Adventure, Comedy, Family",English,Nominated for 1 BAFTA Award3 wins & 39 nominations total,N/A,7.0,"160,886","$218,402,312"
Copenhagen Cowboy: Nightcall with Nicolas Winding Refn,31 Jan 2023,R,27min,"Documentary, Short","English, Danish",N/A,N/A,N/A,121,N/A
John Wick: Chapter 4,24 Mar 2023,R,2h 50min,"Action, Crime, Thriller","English, Japanese, Russian, French, Spanish, German, Latin, Cantonese, Arabic",37 wins & 46 nominations,78,7.7,"355,448","$187,131,806"
The Coney,2023,R,1h 44min,Crime,English,N/A,N/A,N/A,7,N/A
The Lost Chronicles,2023,PG-13,1h 7min,Horror,N/A,N/A,N/A,N/A,14,N/A
Down Bad: Life in the Hood,03 Jan 2023,R,2h 29min,Drama,English,N/A,N/A,N/A,268,N/A
Alan and the Rulers of the Air,22 Oct 2023,PG-13,2h 0min,"Drama, Thriller",English,N/A,N/A,8.9,13,N/A
A Tribute to Bob Barker,31 Aug 2023,PG,45min,"Family, Game-Show",English,N/A,N/A,N/A,11,N/A
Sunday*,30 Mar 2023,R,1h 42min,Thriller,English,N/A,N/A,N/A,N/A,N/A
Christmas on Windmill Way,23 Nov 2023,G,1h 24min,"Romance, Comedy",English,N/A,N/A,5.9,468,N/A
The Pumpkin Man,05 Sep 2023,R,1h 31min,Horror,English,7 wins & 6 nominations,N/A,3.9,203,N/A
The Plot to Kill My Mother,22 Jan 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,5.0,199,N/A
A Look in the Rear View,06 Oct 2023,R,2h 6min,Comedy,English,N/A,N/A,7.4,11,N/A
Bad Connection,25 Jan 2024,PG-13,1h 30min,Horror,English,N/A,N/A,4.5,60,N/A
Guiding Emily,08 Sep 2023,G,1h 24min,"Comedy, Drama, Romance",English,N/A,N/A,7.8,955,N/A
Smart Home Killer,21 Dec 2023,PG,1h 27min,Thriller,English,N/A,N/A,4.7,223,N/A
Freestyle 101: Hip Hop History,24 Oct 2023,R,1h 42min,Documentary,English,N/A,N/A,6.4,21,N/A
"Where Are You, Christmas?",21 Oct 2023,G,1h 24min,"Comedy, Drama, Fantasy",English,N/A,N/A,6.4,"1,045",N/A
I'm with Me,20 Oct 2023,G,1h 30min,"Comedy, Romance",English,N/A,N/A,N/A,25,N/A
A Nurse to Die For,14 Apr 2023,PG-13,1h 28min,Thriller,English,N/A,N/A,5.0,202,N/A
Mainstream Sellout Live from Cleveland: The Pink Era,13 May 2023,PG-13,1h 59min,Documentary,English,N/A,N/A,N/A,48,N/A
TIME100: The World's Most Influential People,12 May 2024,PG,40min,Documentary,N/A,N/A,N/A,N/A,8,N/A
A World Record Christmas,16 Nov 2023,G,1h 24min,"Comedy, Drama, Romance",English,1 win,N/A,7.0,785,N/A
A Pinch of Portugal,22 Apr 2023,G,1h 24min,Romance,"English, Portuguese",N/A,N/A,6.2,"1,011",N/A
The Fukushima Disaster,07 Mar 2023,PG-13,52min,Documentary,English,N/A,N/A,9.4,10,N/A
Rajamagal,17 Mar 2023,G,1h 56min,"Drama, Kids & Family",Tamil,N/A,N/A,N/A,97,N/A
When Love Springs,06 May 2023,G,1h 30min,"Comedy, Romance",English,N/A,N/A,6.3,808,N/A
Jack Squad 2: The Next Generation,27 Feb 2023,R,1h 58min,Thriller,English,N/A,N/A,5.2,69,N/A
Taylor Mac's 24-Decade History of Popular Music,27 Jun 2023,PG-13,1h 46min,"Documentary, Music",English,Won 1 Primetime Emmy. 1 win & 1 nomination total,73,N/A,146,N/A
Romeo + Isabella,01 Jun 2023,PG,1h 37min,"Crime, Drama, Romance",English,N/A,N/A,5.6,47,N/A
Sons of Summer,28 Jul 2023,R,1h 27min,"Action, Crime, Mystery",English,N/A,N/A,3.6,"2,511",N/A
K-LOVE Live at Red Rocks,06 Nov 2023,PG-13,1h 25min,Music,English,N/A,N/A,N/A,N/A,N/A
Diablada,14 Mar 2021,R,1h 30min,"Drama, Thriller",Spanish,1 nomination,N/A,5.8,91,N/A
Jawanum Mullappoovum,31 Mar 2023,G,2h 15min,Drama,Malayalam,N/A,N/A,6.3,498,N/A
TikTok in the Mix,10 Dec 2023,R,1h 1min,Music,English,N/A,N/A,N/A,N/A,N/A
Oprah and the Color Purple Journey,28 Nov 2023,PG-13,56min,Documentary,English,1 win & 1 nomination,N/A,N/A,32,N/A
Ug Wug,10 Feb 2023,PG,57min,Fantasy,N/A,N/A,N/A,N/A,9,N/A
Stoned Cold Country,13 Dec 2023,PG-13,1h 37min,Documentary,English,N/A,N/A,N/A,N/A,N/A
You're OUT!,31 Jul 2023,PG-13,1h 52min,Comedy,English,N/A,N/A,7.4,81,N/A
