Id/Title,Release year,Age rating,Runtime,Genre
tt21625056,2024,NC-17,1h 23min,"Drama, Crime"
tt13830348,2024,R,1h 23min,"Science-Fiction, Drama, Action & Adventure, Fantasy"
tt21608540,2024,G,1h 38min,"Comedy, Music & Musical, Drama, Romance"
tt31187315,2024,PG,1h 24min,"Crime, Drama"
tt33113349,2024,G,1h 24min,Romance
tt8785038,2024,R,Null,"Animation, Comedy"
tt31227134,2024,PG-13,1h 41min,"Documentary, War & Military"
tt27804552,2024,R,1h 40min,Mystery & Thriller
tt32526781,2024,R,38min,Documentary
tt21857662,2024,R,1h 41min,"Comedy, Romance"
tt31116671,2024,R,1h 0min,Music & Musical
tt31924746,2024,PG-13,52min,Documentary
tt31514779,2024,PG-13,54min,Documentary
tt29259251,2024,PG-13,1h 30min,Documentary
tt29898251,2024,PG,1h 20min,"Horror, Animation, Action & Adventure, Comedy, Fantasy, Kids & Family"
tt20864606,2024,R,1h 30min,Horror
tt15091524,2024,R,1h 25min,Drama
tt22392694,2024,R,1h 36min,"Drama, Crime"
tt28494829,2024,R,1h 48min,"Comedy, Crime, Action & Adventure"
Interview with the Extraterrestrial,2024,Null,Null,Null
tt29892095,2024,PG,1h 40min,"Fantasy, Romance"
Franco Escamilla: Ladies' man,2024,R,1h 13min,Comedy
tt32094258,2024,PG-13,1h 26min,Drama
tt16409868,2024,R,1h 41min,"Drama, Romance"
tt14754590,2024,Null,Null,Null
Writing a Love Song,2024,G,1h 30min,Romance
tt31852716,2024,PG-13,1h 38min,"History, Documentary"
tt26669823,2024,R,1h 38min,"Mystery & Thriller, Drama"
tt19984386,2024,R,1h 47min,Drama
tt21398192,2024,R,1h 34min,"Fantasy, Action & Adventure"
tt30955308,2024,PG-13,1h 21min,"Documentary, Sport"
tt10442352,2024,PG,1h 33min,"Animation, Fantasy, Comedy, Kids & Family"
tt31194520,2024,R,1h 13min,Comedy
tt5012320,2024,Null,Null,Null
tt31189901,2024,R,1h 55min,"Documentary, Crime"
tt15727262,2024,PG-13,1h 31min,"Comedy, Drama"
tt29259074,2024,Null,Null,Null
The Cardigan Classic: Fallon vs. Khaled,2024,G,1h 0min,"Comedy, Documentary"
tt34058121,2024,R,1h 35min,Documentary
Marvel Studios Assembled: The Making of X-Men '97,2024,PG,56min,Documentary
tt12386108,2023,R,1h 52min,Drama
tt28485522,2024,PG,1h 26min,"Animation, Kids & Family, Fantasy"
tt13699132,2024,PG-13,2h 4min,"Comedy, Drama"
tt15451150,2024,R,1h 42min,"Drama, Horror"
tt12623434,2024,PG,1h 34min,"Fantasy, Comedy, Kids & Family"
tt33501680,2024,PG-13,1h 35min,"Crime, Documentary"
tt31410442,2024,PG-13,1h 37min,Documentary
tt33081211,2024,R,1h 14min,Comedy
tt32133575,2024,PG-13,1h 32min,Documentary
tt5113010,2024,PG-13,2h 5min,"Sport, Drama"
tt23063732,2024,G,1h 26min,"Action & Adventure, Kids & Family, Animation, Comedy, Fantasy"
tt10831486,2024,R,1h 32min,"Action & Adventure, Science-Fiction, Mystery & Thriller"
tt12547822,2024,R,1h 40min,"Horror, Mystery & Thriller, Drama"
tt27696645,2024,R,1h 33min,"Documentary, Music & Musical"
tt31987507,2024,PG,1h 15min,Documentary
tt26928684,2024,PG-13,1h 35min,Comedy
tt24131288,2024,R,1h 30min,"Mystery & Thriller, Action & Adventure"
tt3083016,2024,R,1h 58min,"Action & Adventure, Comedy, Crime, Mystery & Thriller"
tt9860566,2024,R,1h 28min,"Crime, Action & Adventure, Comedy"
tt20115766,2024,R,1h 54min,"Crime, Mystery & Thriller, Action & Adventure"
tt14539740,2024,PG-13,1h 55min,"Science-Fiction, Action & Adventure, Mystery & Thriller, Fantasy"
tt15685360,2024,PG,1h 44min,"Kids & Family, Sport, Drama"
tt14966898,2024,R,1h 33min,Horror
tt26084002,2024,R,1h 31min,"Mystery & Thriller, Comedy"
tt12610390,2024,PG-13,1h 49min,"Comedy, Action & Adventure, Mystery & Thriller"
tt27676959,2024,R,1h 26min,Mystery & Thriller
tt31022050,2024,PG-13,1h 39min,"Comedy, Drama, Romance"
tt12735488,2024,PG-13,3h 0min,"Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure, Drama"
tt20315818,2024,R,1h 40min,"Drama, Comedy"
tt30319503,2024,R,1h 33min,"Comedy, Drama"
The Forge,2024,PG,2h 4min,"Drama, Kids & Family"
tt33034103,2024,PG-13,1h 40min,"Comedy, Documentary"
tt13457790,2024,R,1h 41min,"Crime, Drama"
tt11301886,2024,Null,Null,Null
tt13015408,2024,PG-13,1h 36min,"Science-Fiction, Horror, Comedy, Action & Adventure"
tt30833435,2024,R,1h 25min,"Horror, Mystery & Thriller"
tt31530596,2024,PG-13,1h 28min,Action & Adventure
tt14858658,2024,R,1h 43min,"Mystery & Thriller, Horror"
tt14415204,2024,R,1h 41min,"Horror, Mystery & Thriller, Drama"
tt21261712,2024,R,2h 3min,"Drama, Music & Musical"
tt32380491,2024,R,53min,"Comedy, Documentary"
tt11790352,2024,R,1h 43min,Horror
Kung Fu Games,2024,R,1h 34min,Action & Adventure
tt22334258,2024,PG,1h 58min,"Romance, Drama"
tt11762114,2024,PG-13,1h 53min,Comedy
tt27881925,2024,PG-13,1h 48min,"Action & Adventure, Drama"
tt31122323,2024,G,1h 23min,"Comedy, Crime, Kids & Family, Science-Fiction, Animation, Action & Adventure"
tt20194882,2024,R,1h 36min,"Romance, Drama"
tt30332425,2024,R,1h 20min,Horror
tt6850952,2024,PG,1h 30min,Documentary
tt27543996,2024,PG-13,1h 44min,Documentary
tt24229028,2024,R,1h 42min,"Fantasy, Horror, Mystery & Thriller"
tt14940390,2024,Null,Null,Null
Season 666,2024,R,53min,"Comedy, Horror"
tt8308900,2024,Null,Null,Null
On the Market,2024,PG-13,1h 34min, Remove ads 
tt34249024,2024,PG-13,1h 27min,Action & Adventure
tt9010322,2024,R,1h 31min,Crime
tt14476344,2024,G,1h 24min,"Comedy, Romance"
tt31172094,2024,NC-17,1h 24min,Drama
tt7018422,2024,PG,1h 42min,"Drama, Kids & Family"
tt18346498,2024,G,1h 38min,Documentary
tt30343940,2024,PG-13,3min,Drama
tt21374984,2024,R,1h 25min,Mystery & Thriller
tt28053811,2024,NC-17,1h 43min,"Comedy, Drama, Fantasy"
tt21466116,2024,R,1h 44min,"Drama, Mystery & Thriller"
tt21151212,2024,R,1h 45min,"Horror, Mystery & Thriller, Crime, Drama"
tt6188002,2024,R,1h 45min,"Horror, Science-Fiction"
tt28490042,2024,R,1h 30min,"Documentary, Music & Musical"
tt21600628,2024,PG-13,1h 28min,Crime
tt22803220,2024,R,1h 39min,Drama
tt16348996,2024,R,1h 36min,"Drama, Mystery & Thriller, Crime"
tt31841789,2024,Null,Null,Null
